precinct,registered_voters,ballots_cast,turnout,democratic_party,republican_party,libertarian_party,us_taxpayers_party,working_class_party,green_party,natural_law_party
City of Detroit AVCB 83,0,1145,0,714,64,5,1,3,1,1
City of Detroit AVCB 84,0,1095,0,754,60,5,3,4,1,1
City of Detroit AVCB 85,0,705,0,465,23,3,0,0,0,0
City of Detroit AVCB 86,0,1757,0,1160,56,1,0,6,3,2
City of Detroit AVCB 87,0,1507,0,1096,92,5,1,3,3,1
City of Detroit AVCB 88,0,2241,0,1600,173,13,4,17,6,6
City of Detroit AVCB 89,0,2221,0,1717,59,6,6,2,5,0
City of Detroit AVCB 90,0,447,0,361,5,1,2,2,0,1
City of Detroit AVCB 91,0,525,0,447,8,1,0,2,2,0
City of Detroit AVCB 92,0,909,0,743,13,1,1,3,4,1
City of Detroit AVCB 93,0,987,0,823,13,2,1,1,1,0
City of Detroit AVCB 94,0,1437,0,1132,18,1,5,6,3,1
City of Detroit AVCB 95,0,1742,0,1449,20,3,3,8,1,4
City of Detroit AVCB 96,0,976,0,804,9,2,2,1,3,2
City of Detroit AVCB 97,0,338,0,264,2,0,2,0,0,1
City of Detroit AVCB 98,0,363,0,307,4,0,0,1,1,0
City of Detroit AVCB 99,0,373,0,284,3,1,2,0,0,0
City of Detroit AVCB 100,0,152,0,109,7,0,0,1,0,0
City of Detroit AVCB 101,0,201,0,171,1,0,0,0,0,0
City of Detroit AVCB 102,0,369,0,293,5,1,2,3,0,0
City of Detroit AVCB 103,0,196,0,155,1,0,0,0,0,0
City of Detroit AVCB 104,0,298,0,213,8,0,0,0,0,0
City of Detroit AVCB 105,0,6,0,4,0,0,0,0,0,0
City of Detroit AVCB 106,0,12,0,11,0,0,0,0,0,0
City of Detroit AVCB 107,0,178,0,145,2,0,0,0,1,1
City of Detroit AVCB 108,0,353,0,285,5,0,0,1,0,1
City of Detroit AVCB 109,0,413,0,337,0,1,0,1,0,1
City of Detroit AVCB 110,0,217,0,169,12,0,1,2,0,0
City of Detroit AVCB 111,0,56,0,42,0,0,0,0,0,0
City of Detroit AVCB 112,0,359,0,284,8,0,3,2,1,2
City of Detroit AVCB 113,0,3,0,3,0,0,0,0,0,0
City of Detroit AVCB 114,0,354,0,248,11,2,1,1,0,0
City of Detroit AVCB 115,0,70,0,51,2,0,0,0,0,1
City of Detroit AVCB 116,0,342,0,273,7,0,0,2,0,1
City of Detroit AVCB 117,0,451,0,353,5,0,1,1,2,2
City of Detroit AVCB 118,0,23,0,20,0,0,0,0,0,0
City of Detroit AVCB 119,0,167,0,139,2,1,0,1,0,0
City of Detroit AVCB 120,0,664,0,441,13,1,0,1,3,0
City of Detroit AVCB 121,0,251,0,208,3,1,1,2,1,1
City of Detroit AVCB 122,0,511,0,324,9,0,1,1,0,1
City of Detroit AVCB 123,0,245,0,200,3,0,0,1,1,0
City of Detroit AVCB 124,0,292,0,231,5,0,0,1,0,1
City of Detroit AVCB 125,0,7,0,4,0,0,0,0,0,0
City of Detroit AVCB 126,0,66,0,43,0,0,1,0,0,0
City of Detroit AVCB 127,0,4,0,3,0,0,0,0,0,0
City of Detroit AVCB 128,0,156,0,115,13,1,0,0,0,0
City of Detroit AVCB 129,0,19,0,14,1,0,0,0,0,0
City of Detroit AVCB 130,0,273,0,232,0,2,0,2,1,1
City of Detroit AVCB 131,0,144,0,126,2,0,0,1,0,0
City of Detroit AVCB 132,0,118,0,96,1,0,0,0,1,0
City of Detroit AVCB 133,0,324,0,260,3,1,0,0,0,0
City of Detroit AVCB 134,0,356,0,304,3,0,0,2,1,2
City of Detroit Precinct 1,749,114,15.22,84,0,1,0,1,0,0
City of Detroit Precinct 2,1141,161,14.11,108,4,3,0,2,1,0
City of Detroit Precinct 3,1207,180,14.91,136,6,1,1,2,1,1
City of Detroit Precinct 4,798,122,15.29,93,1,0,2,1,2,0
City of Detroit Precinct 5,876,108,12.33,89,3,0,0,1,0,0
City of Detroit Precinct 6,1050,197,18.76,157,3,0,0,0,0,0
City of Detroit Precinct 7,1638,217,13.25,142,13,0,1,1,0,1
City of Detroit Precinct 8,1331,222,16.68,151,12,3,3,1,1,1
City of Detroit Precinct 9,558,94,16.85,73,3,1,0,2,1,0
City of Detroit Precinct 10,984,149,15.14,126,2,0,1,0,0,0
City of Detroit Precinct 11,141,27,19.15,19,2,0,0,0,1,0
City of Detroit Precinct 12,1054,170,16.13,132,10,2,0,0,0,0
City of Detroit Precinct 13,874,115,13.16,87,5,0,0,0,0,1
City of Detroit Precinct 14,735,152,20.68,127,1,0,1,2,0,0
City of Detroit Precinct 15,1104,196,17.75,160,5,1,0,1,0,1
City of Detroit Precinct 16,1045,177,16.94,138,6,0,0,2,0,1
City of Detroit Precinct 17,758,184,24.27,145,7,0,0,0,1,0
City of Detroit Precinct 18,1572,329,20.93,266,10,1,0,3,0,1
City of Detroit Precinct 19,1054,187,17.74,140,15,1,0,2,0,0
City of Detroit Precinct 20,1389,349,25.13,267,14,0,2,3,0,0
City of Detroit Precinct 21,875,204,23.31,138,25,0,0,4,0,0
City of Detroit Precinct 22,1276,219,17.16,138,24,2,2,0,0,0
City of Detroit Precinct 23,1182,224,18.95,157,7,0,1,2,0,1
City of Detroit Precinct 24,534,111,20.79,85,6,1,1,0,0,0
City of Detroit Precinct 25,1100,203,18.45,159,7,0,0,1,1,1
City of Detroit Precinct 26,1234,249,20.18,211,5,1,0,0,0,1
City of Detroit Precinct 27,1229,154,12.53,129,5,2,0,1,1,0
City of Detroit Precinct 28,208,25,12.02,17,2,0,0,0,0,0
City of Detroit Precinct 29,834,100,11.99,75,2,0,0,2,0,0
City of Detroit Precinct 30,858,126,14.69,97,7,0,0,1,0,0
City of Detroit Precinct 31,1375,262,19.05,175,5,0,2,1,3,1
City of Detroit Precinct 32,793,142,17.91,99,3,1,1,1,0,0
City of Detroit Precinct 33,1296,234,18.06,172,11,1,1,1,1,0
City of Detroit Precinct 34,1666,271,16.27,163,14,1,1,0,2,0
City of Detroit Precinct 35,598,119,19.9,102,1,1,1,0,1,1
City of Detroit Precinct 36,394,52,13.2,41,0,0,0,0,0,0
City of Detroit Precinct 37,1279,250,19.55,207,13,0,2,1,0,1
City of Detroit Precinct 38,997,200,20.06,153,7,1,0,0,0,1
City of Detroit Precinct 39,1367,246,18,206,6,1,1,3,0,0
City of Detroit Precinct 40,1005,190,18.91,148,0,3,2,1,0,1
City of Detroit Precinct 41,936,155,16.56,125,4,0,1,0,0,2
City of Detroit Precinct 42,646,124,19.2,89,6,1,0,1,0,0
City of Detroit Precinct 43,1446,280,19.36,225,8,0,2,0,3,3
City of Detroit Precinct 44,1278,201,15.73,162,4,0,0,1,0,0
City of Detroit Precinct 45,1445,205,14.19,147,11,0,3,4,1,1
City of Detroit Precinct 46,540,79,14.63,60,2,0,1,1,0,0
City of Detroit Precinct 47,1280,213,16.64,165,5,1,1,2,2,1
City of Detroit Precinct 48,273,45,16.48,34,3,0,1,0,0,0
